match_id,home_team,away_team,home_score,away_score,match_result,momentum_winner,change_winner,home_positive_changes,away_positive_changes,longest_winner,more_seq_winner,home_longest_seq,away_longest_seq,home_num_sequences,away_num_sequences,momentum_outcome,change_outcome,longest_outcome,num_seq_outcome,winning_metrics_agree,chasing_metrics_agree
3930158,Germany,Scotland,5,1,home_win,home,home,51,49,away,home,6,10,22,15,WIN,WIN,LOSE,WIN,agree,disagree
3930159,Hungary,Switzerland,1,3,away_win,away,home,50,48,home,away,8,6,14,17,WIN,LOSE,LOSE,WIN,agree,agree
3930160,Spain,Croatia,3,0,home_win,away,away,49,50,away,home,7,9,22,15,LOSE,LOSE,LOSE,WIN,disagree,agree
3930161,Italy,Albania,2,1,home_win,home,away,52,54,away,home,9,10,18,17,WIN,LOSE,LOSE,WIN,agree,agree
3930162,Slovenia,Denmark,1,1,draw,away,tie,46,46,away,home,6,7,16,14,DRAW,TIE,DRAW,DRAW,disagree,has_tie
3930163,Serbia,England,0,1,away_win,away,tie,47,47,home,home,8,6,16,15,WIN,TIE,LOSE,LOSE,disagree,has_tie
3930164,Belgium,Slovakia,0,1,away_win,home,home,48,47,home,away,10,8,16,17,LOSE,LOSE,LOSE,WIN,disagree,agree
3930165,Austria,France,0,1,away_win,home,away,50,54,away,away,6,9,16,17,LOSE,WIN,WIN,WIN,disagree,agree
3930166,Portugal,Czech Republic,2,1,home_win,home,away,46,48,home,away,7,6,15,18,WIN,LOSE,WIN,LOSE,disagree,disagree
3930167,Croatia,Albania,2,2,draw,home,away,49,50,home,home,10,7,16,15,DRAW,DRAW,DRAW,DRAW,agree,disagree
3930168,Germany,Hungary,2,0,home_win,home,away,47,48,away,away,7,8,16,17,WIN,LOSE,LOSE,LOSE,disagree,agree
3930169,Scotland,Switzerland,1,1,draw,away,home,51,47,home,tie,15,8,16,16,DRAW,DRAW,DRAW,TIE,has_tie,agree
3930170,Slovenia,Serbia,1,1,draw,away,away,50,54,away,home,9,13,17,13,DRAW,DRAW,DRAW,DRAW,disagree,agree
3930171,Denmark,England,1,1,draw,home,tie,46,46,away,home,6,7,19,18,DRAW,TIE,DRAW,DRAW,agree,has_tie
3930172,Spain,Italy,1,0,home_win,home,away,43,48,home,home,8,7,17,15,WIN,LOSE,WIN,WIN,agree,disagree
3930173,Netherlands,France,0,0,draw,away,away,48,54,away,home,8,12,15,13,DRAW,DRAW,DRAW,DRAW,disagree,agree
3930174,Turkey,Portugal,0,3,away_win,away,home,48,47,away,home,7,8,14,12,WIN,LOSE,WIN,LOSE,disagree,disagree
3930175,Belgium,Romania,2,0,home_win,home,home,55,49,home,away,12,6,16,17,WIN,WIN,WIN,LOSE,disagree,agree
3930176,Switzerland,Germany,1,1,draw,away,away,44,51,home,home,8,6,16,15,DRAW,DRAW,DRAW,DRAW,disagree,disagree
3930177,Scotland,Hungary,0,1,away_win,away,home,57,51,away,home,9,14,16,13,WIN,LOSE,WIN,LOSE,disagree,disagree
3930178,Croatia,Italy,1,1,draw,home,home,51,49,home,away,8,7,15,18,DRAW,DRAW,DRAW,DRAW,disagree,agree
3930179,Albania,Spain,0,1,away_win,away,home,46,45,home,away,8,7,14,15,WIN,LOSE,LOSE,WIN,agree,agree
3930180,Netherlands,Austria,2,3,away_win,home,tie,50,50,home,home,10,7,19,17,LOSE,TIE,LOSE,LOSE,agree,has_tie
3930181,England,Slovenia,0,0,draw,home,home,53,47,home,home,13,7,17,14,DRAW,DRAW,DRAW,DRAW,agree,agree
3930182,Denmark,Serbia,0,0,draw,home,away,47,48,tie,tie,6,6,15,15,DRAW,DRAW,TIE,TIE,has_tie,has_tie
3930183,Slovakia,Romania,1,1,draw,home,home,52,48,away,away,6,8,17,20,DRAW,DRAW,DRAW,DRAW,disagree,disagree
3930184,Czech Republic,Turkey,1,2,away_win,away,away,47,53,away,away,6,7,16,17,WIN,WIN,WIN,WIN,agree,agree
3938637,Poland,Netherlands,1,2,away_win,away,home,50,47,home,away,9,7,16,17,WIN,LOSE,LOSE,WIN,agree,agree
3938638,Romania,Ukraine,3,0,home_win,away,away,46,53,away,tie,5,9,16,16,LOSE,LOSE,LOSE,TIE,has_tie,agree
3938639,Turkey,Georgia,3,1,home_win,home,away,45,47,home,tie,8,5,17,17,WIN,LOSE,WIN,TIE,has_tie,disagree
3938640,Slovakia,Ukraine,1,2,away_win,away,home,49,48,home,home,8,6,19,18,WIN,LOSE,LOSE,LOSE,disagree,agree
3938641,Poland,Austria,1,3,away_win,away,home,56,46,home,away,8,5,15,16,WIN,LOSE,LOSE,WIN,agree,agree
3938642,Georgia,Czech Republic,1,1,draw,away,away,46,49,tie,home,6,6,20,19,DRAW,DRAW,TIE,DRAW,disagree,has_tie
3938643,France,Poland,1,1,draw,home,tie,49,49,away,away,5,6,18,19,DRAW,TIE,DRAW,DRAW,disagree,has_tie
3938644,Georgia,Portugal,2,0,home_win,away,away,48,52,tie,away,8,8,15,18,LOSE,LOSE,TIE,LOSE,agree,has_tie
3938645,Ukraine,Belgium,0,0,draw,away,away,41,53,away,home,5,6,20,18,DRAW,DRAW,DRAW,DRAW,disagree,agree
3940878,Switzerland,Italy,2,0,home_win,home,away,45,47,away,home,6,7,17,14,WIN,LOSE,LOSE,WIN,agree,agree
3940983,Germany,Denmark,2,0,home_win,home,away,49,53,away,home,8,9,16,13,WIN,LOSE,LOSE,WIN,agree,agree
3941017,England,Slovakia,2,1,home_win,home,home,65,63,home,away,11,6,20,22,WIN,WIN,WIN,LOSE,disagree,agree
3941018,Spain,Georgia,4,1,home_win,home,home,60,45,home,away,9,6,16,18,WIN,WIN,WIN,LOSE,disagree,agree
3941019,France,Belgium,1,0,home_win,home,home,52,48,home,away,9,6,13,14,WIN,WIN,WIN,LOSE,disagree,agree
3941020,Portugal,Slovenia,0,0,draw,home,home,65,62,away,tie,7,8,21,21,DRAW,DRAW,DRAW,TIE,has_tie,disagree
3941021,Romania,Netherlands,0,3,away_win,away,away,50,52,away,tie,7,9,13,13,WIN,WIN,WIN,TIE,has_tie,agree
3941022,Austria,Turkey,1,2,away_win,home,home,52,51,home,away,10,7,17,18,LOSE,LOSE,LOSE,WIN,disagree,agree
3942226,Spain,Germany,2,1,home_win,home,away,65,67,away,home,5,10,25,23,WIN,LOSE,LOSE,WIN,agree,agree
3942227,England,Switzerland,1,1,draw,home,home,65,63,tie,away,7,7,23,24,DRAW,DRAW,TIE,DRAW,disagree,has_tie
3942349,Portugal,France,0,0,draw,away,away,54,65,home,home,9,8,22,20,DRAW,DRAW,DRAW,DRAW,disagree,disagree
3942382,Netherlands,Turkey,2,1,home_win,home,home,46,43,away,home,5,7,18,13,WIN,WIN,LOSE,WIN,agree,disagree
3942752,Spain,France,2,1,home_win,away,home,49,47,tie,home,6,6,18,15,LOSE,WIN,TIE,WIN,disagree,has_tie
3942819,Netherlands,England,1,2,away_win,away,home,48,45,home,away,9,5,13,18,WIN,LOSE,LOSE,WIN,agree,agree
3943043,Spain,England,2,1,home_win,home,tie,44,44,away,home,6,7,18,15,WIN,TIE,LOSE,WIN,agree,has_tie
